Name,Address,Phone,Website,Rating,PriceLevel,Types,Hours,PlaceId,Latitude,Longitude
The Inn at Pasatiempo,"555 CA-17, Santa Cruz, CA 95060, USA",(831) 423-5000,https://www.innatpasatiempo.com/,4.2,,establishment; lodging; point_of_interest,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,ChIJdeDXjURAjoARqWzzv-kWy7E,36.99932099999999,-122.022392
Pacific Blue Inn,"636 Pacific Ave, Santa Cruz, CA 95060, USA",(831) 600-8880,http://pacificblueinn.com/,4.4,,establishment; lodging; point_of_interest,,ChIJWfOT8JxqjoARP4CEf4mGjvM,36.9679705,-122.0244176
"Hotel Paradox, Autograph Collection","611 Ocean St, Santa Cruz, CA 95060, USA",(831) 425-7100,https://www.marriott.com/en-us/hotels/sjcak-hotel-paradox-autograph-collection/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,4.1,,establishment; lodging; point_of_interest,,ChIJU6nOWSFAjoARb_yNhpSsrQI,36.9768291,-122.0209158
Fairfield by Marriott Inn & Suites Santa Cruz - Capitola,"1255 41st Ave, Capitola, CA 95010, USA",(831) 427-2900,https://www.marriott.com/en-us/hotels/sjccp-fairfield-inn-and-suites-santa-cruz-capitola/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,4.4,,establishment; lodging; point_of_interest,,ChIJ7Zs3rRQVjoARxcX2cXp3n4Y,36.9699833,-121.9652915
The Aqua Pacific Hotel,"330 Ocean St, Santa Cruz, CA 95060, USA",(831) 425-3722,https://www.theaquapacifichotel.com/,3.2,,establishment; lodging; point_of_interest,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,ChIJc2_pwJ9qjoAR4oxrTEwneac,36.97210330000001,-122.017429
Seaway Inn,"176 W Cliff Dr, Santa Cruz, CA 95060, USA",(831) 471-9004,http://www.seawayinn.com/,4.3,,establishment; lodging; point_of_interest,Monday: 8:00 AM – 12:00 AM; Tuesday: 8:00 AM – 12:00 AM; Wednesday: 8:00 AM – 12:00 AM; Thursday: 8:00 AM – 12:00 AM; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: 8:00 AM – 12:00 AM,ChIJs9mMv5pqjoARC2W1YvXx2lk,36.96218140000001,-122.0254722
Hotel Solares,"600 Riverside Ave, Santa Cruz, CA 95060, USA",(831) 458-9660,https://www.hotelsolares.com/,3.3,,establishment; lodging; point_of_interest,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,ChIJc9w-9J5qjoARiLBrobcokTE,36.9702182,-122.0201611
Motel Santa Cruz,"370 Ocean St, Santa Cruz, CA 95060, USA",(831) 458-9220,http://motelsantacruz.travel/,2.7,,establishment; lodging; point_of_interest,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,ChIJratKeSBAjoARqbeNepuI4PQ,36.9732768,-122.0179536
Torch Lite Inn Santa Cruz CA Hotel,"500 Riverside Ave, Santa Cruz, CA 95060, USA",(831) 426-7575,,3.2,,establishment; lodging; point_of_interest,Monday: 8:00 AM – 7:00 AM; Tuesday: 8:00 AM – 7:00 AM; Wednesday: 8:00 AM – 7:00 AM; Thursday: 8:00 AM – 7:00 AM; Friday: 8:00 AM – 7:00 AM; Saturday: 8:00 AM – 7:00 AM; Sunday: 8:00 AM – 7:00 AM,ChIJe3Glwp5qjoARbbCbKeruvKE,36.9691657,-122.0188059
Rio Sands Hotel,"116 Aptos Beach Dr, Aptos, CA 95003, USA",(831) 688-3207,http://www.riosands.com/,4.1,,establishment; lodging; point_of_interest,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,ChIJpdm7HtUVjoARYfqlK7Bl-DM,36.9695812,-121.9036695
Continental Inn,"414 Ocean St, Santa Cruz, CA 95060, USA",(831) 429-1221,https://www.continentalinnsantacruz.com/,4,,establishment; lodging; point_of_interest,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,ChIJ0ywgYSBAjoARkPvPQlMEq38,36.9739928,-122.0183532
Live Oak,"Live Oak, CA, USA",,,,,locality; political,,ChIJDwDFblgVjoARQylfQi4dXG0,36.9835611,-121.9805165
Hot Yoga Toadal Fitness,"2931 Mission St, Santa Cruz, CA 95060, USA",(206) 734-7424,https://www.toadalfitness.com/hot-yoga,5,,establishment; gym; health; point_of_interest,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 8:00 AM – 6:00 PM; Sunday: 8:00 AM – 6:00 PM,ChIJI5AIDRxrjoARe_M-_ibwcRk,36.9590669,-122.0586274
College 9/10 Namaste Lounge,"Namaste Lounge, 702 College Nine Rd, Santa Cruz, CA 95064, USA",,http://fitlife.ucsc.edu/,4.5,,establishment; gym; health; point_of_interest,Monday: 6:30 AM – 12:00 AM; Tuesday: 6:30 AM – 12:00 AM; Wednesday: 6:30 AM – 12:00 AM; Thursday: 6:30 AM – 12:00 AM; Friday: 6:30 AM – 12:00 AM; Saturday: 6:30 AM – 12:00 AM; Sunday: 6:30 AM – 12:00 AM,ChIJoy21bgpBjoARzXs90NT5c_A,37.0007655,-122.0572502
Pleasure Point Yoga,"3707 Portola Dr, Santa Cruz, CA 95062, USA",(831) 479-9642,https://www.pleasurepointsanctuary.com/,4.7,,establishment; gym; health; point_of_interest,Monday: 7:00 AM – 8:30 PM; Tuesday: 7:00 AM – 8:30 PM; Wednesday: 7:00 AM – 8:30 PM; Thursday: 7:00 AM – 8:30 PM; Friday: 7:00 AM – 8:30 PM; Saturday: 8:00 – 11:30 AM; Sunday: 8:00 – 11:30 AM,ChIJ2U2OcBYVjoARKjH_VAr3Ivs,36.9639507,-121.9680886
Hot Elevation Studios,"1440 41st Ave suite e, Capitola, CA 95010, USA",(831) 332-9543,https://hotelevationstudios.com/,4.3,,establishment; gym; health; point_of_interest,"Monday: 6:00 AM – 1:00 PM, 4:00 – 7:30 PM; Tuesday: 6:00 AM – 1:00 PM, 4:00 – 7:30 PM; Wednesday: 6:00 AM – 1:00 PM, 4:00 – 7:30 PM; Thursday: 6:00 AM – 1:00 PM, 4:00 – 7:30 PM; Friday: 6:00 AM – 1:00 PM, 4:00 – 6:15 PM; Saturday: 7:00 AM – 1:00 PM; Sunday: 8:00 AM – 1:00 PM, 4:00 – 6:30 PM",ChIJpbBhfWsVjoARQSJh4hY8noc,36.9717689,-121.964419
Hotsource Yoga,"7960 Soquel Dr, Aptos, CA 95003, USA",(831) 661-5030,https://hotsourceyogastudio.com/,5,,establishment; gym; health; point_of_interest,Monday: 9:00 AM – 8:00 PM; Tuesday: 5:45 AM – 9:00 PM; Wednesday: 5:30 AM – 9:00 PM; Thursday: 5:45 AM – 9:00 PM; Friday: 6:30 AM – 6:00 PM; Saturday: 7:30 AM – 6:00 PM; Sunday: 7:30 AM – 6:00 PM,ChIJ57DAatcVjoARNnvzln6dPP0,36.9763355,-121.9058675
Anahata Hot Yoga & Wellness Center,"6264 CA-9, Felton, CA 95018, USA",(831) 216-6423,https://www.anahatayoga.center/,5,,establishment; gym; health; point_of_interest,Monday: 6:15 AM – 8:00 PM; Tuesday: 8:45 AM – 8:30 PM; Wednesday: 6:15 AM – 8:00 PM; Thursday: 8:45 AM – 8:30 PM; Friday: 6:15 AM – 7:00 PM; Saturday: 7:45 AM – 7:00 PM; Sunday: 7:45 AM – 9:00 PM,ChIJV4IIkCtHjoARooQFtLUslFc,37.0524177,-122.0730227
Santa Cruz Yoga,"402 Ingalls St #11, Santa Cruz, CA 95060, USA",(831) 227-2215,http://www.santacruzyoga.net/,4.4,,establishment; gym; health; point_of_interest,Monday: 7:00 AM – 8:00 PM; Tuesday: 7:00 AM – 8:00 PM; Wednesday: 7:00 AM – 8:00 PM; Thursday: 7:00 AM – 8:00 PM; Friday: 7:00 AM – 8:00 PM; Saturday: 7:00 AM – 8:00 PM; Sunday: 7:00 AM – 8:00 PM,ChIJy_sYA3pqjoARKmclf-hzTJk,36.9590032,-122.0486892
Toadal Fitness West Side,"2929 Mission St, Santa Cruz, CA 95060, USA",(831) 466-3764,http://www.toadalfitness.com/,4.5,,establishment; gym; health; point_of_interest,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 8:00 AM – 6:00 PM; Sunday: 8:00 AM – 6:00 PM,ChIJ6ceLYHVqjoARAD46UVM8rRw,36.9592746,-122.0583741
Village Yoga Santa Cruz,"718 Soquel Ave, Santa Cruz, CA 95062, USA",(831) 400-6362,http://www.villageyogasantacruz.com/,4.8,,establishment; gym; health; point_of_interest,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 7:30 PM; Saturday: 8:00 AM – 5:30 PM; Sunday: 8:00 AM – 5:30 PM,ChIJ3YpSlSdAjoAR-AJqaAJVJ7I,36.9770438,-122.0151531
Sol Hot Yoga,"230 Mt Hermon Rd D, Scotts Valley, CA 95066, USA",(831) 515-7000,http://solhotyogasv.com/,5,,establishment; gym; health; point_of_interest,"Monday: 7:30 AM – 12:45 PM, 4:00 – 8:30 PM; Tuesday: 7:30 AM – 1:00 PM, 4:00 – 8:30 PM; Wednesday: 7:30 AM – 12:45 PM, 4:00 – 8:30 PM; Thursday: 9:00 AM – 1:00 PM, 4:00 – 7:15 PM; Friday: 7:30 AM – 1:00 PM, 5:00 – 6:00 PM; Saturday: 7:00 AM – 1:00 PM; Sunday: 9:00 AM – 1:00 PM, 4:00 – 6:15 PM",ChIJM-z02btHjoARMwOqVO7g1Pk,37.0484837,-122.0262518
Santa Cruz Athletic Club,"901 Soquel Ave, Santa Cruz, CA 95062, USA",(831) 425-4653,http://www.santacruzathleticclub.com/,4.8,,establishment; gym; health; point_of_interest,Monday: 4:00 AM – 11:00 PM; Tuesday: 4:00 AM – 11:00 PM; Wednesday: 4:00 AM – 11:00 PM; Thursday: 4:00 AM – 11:00 PM; Friday: 5:00 AM – 10:00 PM; Saturday: 6:00 AM – 8:00 PM; Sunday: 6:00 AM – 8:00 PM,ChIJ9S8eMidBjoARXLtpY22if_U,36.9784388,-122.0147497
Bhakti Santa Cruz,"513 Soquel Ave, Santa Cruz, CA 95062, USA",(650) 772-8226,https://bhaktisantacruz.com/,5,,establishment; gym; health; point_of_interest,,ChIJOUqacepBjoAR41Xp_0fSusQ,36.9757219,-122.0179232
Santa Cruz Movement,"730 Soquel Ave, Santa Cruz, CA 95062, USA",(831) 332-5883,https://www.santacruzmovement.com/,4.9,,establishment; gym; health; point_of_interest,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 7:00 PM; Saturday: 8:00 AM – 4:00 PM; Sunday: 8:00 AM – 4:00 PM,ChIJVYBT-nRBjoARkrHyC37y4xY,36.97730310000001,-122.0150124
Breath+Oneness Yoga,"708 Capitola Ave, Capitola, CA 95010, USA",(831) 515-7001,http://www.breathandoneness.com/,4.9,,establishment; gym; health; point_of_interest,Monday: 8:00 AM – 9:00 PM; Tuesday: 8:00 AM – 9:00 PM; Wednesday: 8:00 AM – 9:00 PM; Thursday: 8:00 AM – 9:00 PM; Friday: 8:00 AM – 9:00 PM; Saturday: 8:00 AM – 9:00 PM; Sunday: 8:00 AM – 9:00 PM,ChIJg44WynYVjoAR3TaBK6efe80,36.9793835,-121.9527062
Yoga Motive,"6996 Soquel Ave, Santa Cruz, CA 95062, USA",(206) 734-7424,,5,,establishment; gym; health; point_of_interest,Monday: 7:00 AM – 10:00 PM; Tuesday: 7:00 AM – 10:00 PM; Wednesday: 7:00 AM – 10:00 PM; Thursday: 7:00 AM – 10:00 PM; Friday: 7:00 AM – 10:00 PM; Saturday: 7:00 AM – 10:00 PM; Sunday: 7:00 AM – 10:00 PM,ChIJuTWck2EVjoAR1pZ8eGjq9MU,36.9818466,-121.968753
SPENGA Santa Cruz,"335 Soquel Ave, Santa Cruz, CA 95062, USA",(831) 227-2130,https://spenga.com/locations/santa-cruz/,4.8,,establishment; gym; health; point_of_interest,Monday: 5:30 AM – 7:30 PM; Tuesday: 5:30 AM – 7:30 PM; Wednesday: 5:30 AM – 7:30 PM; Thursday: 5:30 AM – 7:30 PM; Friday: 5:30 AM – 7:30 PM; Saturday: 5:30 AM – 7:30 PM; Sunday: 7:00 AM – 12:00 PM,ChIJya69wtZBjoARHorkArm_Ecs,36.9746514,-122.0199458
Toadal Fitness,"269 Mt Hermon Rd, Scotts Valley, CA 95066, USA",(831) 430-9200,https://www.toadalfitness.com/,4.4,,establishment; gym; health; point_of_interest,Monday: 6:00 AM – 8:00 PM; Tuesday: 6:00 AM – 8:00 PM; Wednesday: 6:00 AM – 8:00 PM; Thursday: 6:00 AM – 8:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 8:00 AM – 4:00 PM; Sunday: 8:00 AM – 4:00 PM,ChIJNeBBDCtHjoARcKZfPA73arM,37.0475417,-122.0338278
Club Pilates,"23 Rancho Del Mar, Aptos, CA 95003, USA",(831) 435-9064,http://www.clubpilates.com/location/aptos/?utm_source=google.com&utm_medium=referral&utm_campaign=yext,4.8,,establishment; gym; health; point_of_interest,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: 9:00 AM – 5:00 PM,ChIJTR0HpnoVjoARRyYRPSy80sQ,36.9779637,-121.908053
Club Pilates,"1010 Center St, Santa Cruz, CA 95060, USA",(831) 420-8001,http://clubpilates.com/santacruz/?utm_source=google.com&utm_medium=referral&utm_campaign=yext,4.9,,establishment; gym; health; point_of_interest,"Monday: 7:00 AM – 1:00 PM, 4:00 – 8:00 PM; Tuesday: 7:00 AM – 1:00 PM, 4:00 – 8:00 PM; Wednesday: 7:00 AM – 1:00 PM, 4:00 – 8:00 PM; Thursday: 7:00 AM – 1:00 PM, 4:00 – 8:00 PM; Friday: 7:00 AM – 1:00 PM, 4:00 – 8:00 PM; Saturday: 7:30 AM – 1:00 PM; Sunday: 8:00 AM – 2:00 PM",ChIJwXVuMrRBjoAR2uK9625lcHg,36.9758391,-122.0286086
Ayelet Pilates,"783 Rio Del Mar Blvd Suite 53, Aptos, CA 95003, USA",(831) 275-9595,http://ayeletpilates.com/,5,,establishment; gym; health; point_of_interest,Monday: 7:00 AM – 7:00 PM; Tuesday: 7:00 AM – 7:00 PM; Wednesday: 7:00 AM – 7:00 PM; Thursday: 7:00 AM – 7:00 PM; Friday: 7:00 AM – 4:00 PM; Saturday: 7:00 AM – 1:00 AM; Sunday: 7:00 AM – 1:00 PM,ChIJr3rQFw4XjoARrYsxTnF13ac,36.974601,-121.8895866
Monarch Pilates,"4125 Portola Dr, Santa Cruz, CA 95062, USA",(831) 475-8994,http://www.monarchpilates.com/,5,,establishment; gym; health; physiotherapist; point_of_interest,Monday: 8:30 AM – 7:30 PM; Tuesday: 6:30 AM – 6:30 PM; Wednesday: 6:30 AM – 6:30 PM; Thursday: 6:30 AM – 5:30 PM; Friday: 7:30 AM – 12:30 PM; Saturday: 8:30 AM – 12:30 PM; Sunday: 8:30 AM – 12:30 PM,ChIJoyuLS9cVjoARm7KQkQ02I8I,36.96398180000001,-121.9644836
Joy of Movement Gyrotonic and Pilates Studio,"8035 Soquel Dr #31, Aptos, CA 95003, USA",(831) 247-5488,http://www.joyofmovement.biz/,4.9,,establishment; gym; health; point_of_interest,Monday: 8:00 AM – 6:30 PM; Tuesday: 8:00 AM – 7:00 PM; Wednesday: 8:00 AM – 6:00 PM; Thursday: 8:00 AM – 7:00 PM; Friday: 8:00 AM – 6:00 PM; Saturday: 8:00 AM – 6:00 PM; Sunday: 8:00 AM – 6:00 PM,ChIJJUNj4NcVjoARCeeBi_in-HA,36.9777324,-121.9021256
Hilltop Pilates- Pilates in Aptos,"Bonita Dr, Aptos, CA 95003, USA",(831) 325-3407,https://hilltoppilates.com/,5,,establishment; gym; health; point_of_interest,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 3:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,ChIJs_f1aDkVjoARRjUfigjG6UU,36.9741696,-121.8869148
Pilates by Natalia,"6894A Soquel Ave, Santa Cruz, CA 95062, USA",(408) 660-6273,https://pilatesbynatalia.com/,5,,establishment; gym; health; point_of_interest,Monday: 8:00 AM – 7:30 PM; Tuesday: 6:00 AM – 7:30 PM; Wednesday: 8:00 AM – 7:30 PM; Thursday: Closed; Friday: 8:00 AM – 5:00 PM; Saturday: 8:00 AM – 12:00 PM; Sunday: Closed,ChIJ8bSb1v6WWqIRbHVtt9weC6c,36.9826735,-121.9699064
"Blessful Body Pilates with Ky Autumn Russell, MA Kinesiology","Online sessions, Santa Cruz, CA 95060, USA",(831) 471-5070,https://www.kyautumn.com/,5,,establishment; gym; health; point_of_interest; school,Monday: Closed; Tuesday: 9:00 AM – 2:00 PM; Wednesday: Closed; Thursday: Closed; Friday: Closed; Saturday: Closed; Sunday: Closed,ChIJOVqsBGR0Zo0R0JX3e888w1o,36.9761629,-122.0332071
Pleasure Point Pilates,"22602 E Cliff Dr, Santa Cruz, CA 95062, USA",(831) 818-9840,http://www.pleasurepointpilates.com/,5,,establishment; gym; health; point_of_interest,Monday: 7:00 AM – 6:30 PM; Tuesday: 7:00 AM – 6:30 PM; Wednesday: 7:00 AM – 6:30 PM; Thursday: 7:00 AM – 6:30 PM; Friday: 7:00 AM – 6:30 PM; Saturday: 8:00 – 11:30 AM; Sunday: Closed,ChIJYwGSbjoVjoAR8h5POxUitfM,36.95850799999999,-121.980641
Studio Emilio,"550 Water St Suite C-1, Santa Cruz, CA 95062, USA",(831) 227-5557,http://studioemiliosantacruz.com/,5,,establishment; gym; health; point_of_interest,Monday: Closed; Tuesday: 10:00 AM – 4:00 PM; Wednesday: 10:00 AM – 4:00 PM; Thursday: 10:00 AM – 4:00 PM; Friday: 10:00 AM – 4:00 PM; Saturday: 10:00 AM – 4:00 PM; Sunday: Closed,ChIJE1X_u6pBjoAR8UWdxjDGKjE,36.9792305,-122.017703
Truly Toned,"118 Younger Way, Santa Cruz, CA 95060, USA",(831) 247-7069,,5,,establishment; gym; health; point_of_interest,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 9:00 AM – 5:00 PM; Sunday: 9:00 AM – 5:00 PM,ChIJxQk06JtqjoAR7ih7BbWuR3U,36.9659341,-122.0220917
Bali Body Pilates,"303 Potrero St #41, Santa Cruz, CA 95060, USA",(415) 244-8326,https://www.balibodypilates.com/,5,,establishment; gym; health; point_of_interest,Monday: 9:00 AM – 4:00 PM; Tuesday: Closed; Wednesday: 9:00 AM – 4:00 PM; Thursday: Closed; Friday: 9:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,ChIJnUP4I4tBjoAR8BpQhKidQ4M,36.9811068,-122.0306037
Toadal Fitness,"716 Ocean St, Santa Cruz, CA 95060, USA",(831) 423-3764,http://www.toadalfitness.com/,4.5,,establishment; gym; health; point_of_interest,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 7:00 PM; Saturday: 8:00 AM – 6:00 PM; Sunday: 8:00 AM – 6:00 PM,ChIJ3b9QfyhAjoAR09dTTVFEEbk,36.9787122,-122.0204486
KarliG Pilates,"9515 Soquel Dr #102, Aptos, CA 95003, USA",(415) 235-2515,https://karligpilates.com/,5,,establishment; gym; health; point_of_interest,Monday: 2:00 – 7:00 PM; Tuesday: 2:00 – 7:00 PM; Wednesday: 2:00 – 7:00 PM; Thursday: 2:00 – 7:00 PM; Friday: 2:00 – 7:00 PM; Saturday: Closed; Sunday: Closed,ChIJEXLYFcMXjoARRZp3b6w9pKM,36.9754854,-121.8845286
Santa Cruz CORE Fitness + Rehab,"317 Potrero St ste c, Santa Cruz, CA 95060, USA",(831) 425-9500,https://santacruzcore.com/,4.9,,establishment; gym; health; point_of_interest,Monday: 8:15 AM – 9:00 PM; Tuesday: 8:15 AM – 9:00 PM; Wednesday: 8:15 AM – 9:00 PM; Thursday: 8:15 AM – 9:00 PM; Friday: 8:15 AM – 9:00 PM; Saturday: 8:30 AM – 5:00 PM; Sunday: 8:30 AM – 5:00 PM,ChIJ8Y6oADFAjoARDcYGkf4rkF4,36.9821074,-122.0299772
Enterprise Sports Club,"100 Enterprise Way G100, Scotts Valley, CA 95066, USA",(831) 920-0912,http://www.enterprisesportsclub.com/,4.5,,establishment; gym; health; point_of_interest,Monday: 5:30 AM – 9:00 PM; Tuesday: 5:30 AM – 9:00 PM; Wednesday: 5:30 AM – 9:00 PM; Thursday: 5:30 AM – 9:00 PM; Friday: 5:30 AM – 9:00 PM; Saturday: 7:00 AM – 8:00 PM; Sunday: 7:00 AM – 8:00 PM,ChIJif4QGfBHjoAROIXX1HcGviU,37.06373019999999,-121.9997373
"Rocky's Rehab, Fitness, and Conditioning","2001 40th Ave c, Capitola, CA 95010, USA",(831) 854-2130,https://rfcsantacruz.com/,4.8,,establishment; gym; health; point_of_interest; school,Monday: 6:00 AM – 7:00 PM; Tuesday: 6:00 AM – 7:00 PM; Wednesday: 6:00 AM – 1:00 PM; Thursday: 6:00 AM – 7:00 PM; Friday: 6:00 AM – 1:00 PM; Saturday: 8:00 AM – 12:00 PM; Sunday: Closed,ChIJ5_WlSxEVjoAR7hiO1Nh_qVA,36.9787075,-121.9665126
Santa Cruz Biomechanics,"1500 Graham Hill Rd Unit B, Santa Cruz, CA 95060, USA",,https://www.santacruzbiomechanics.com/,4.9,,establishment; gym; health; point_of_interest,Monday: 8:00 AM – 7:00 PM; Tuesday: 8:00 AM – 7:00 PM; Wednesday: 8:00 AM – 7:00 PM; Thursday: 8:00 AM – 7:00 PM; Friday: 8:00 AM – 7:00 PM; Saturday: 8:00 AM – 7:00 PM; Sunday: Closed,ChIJT2cgeoYVjoARfOEF-4KMXmk,37.0143911,-122.0338023
The Center For Healing,"6144 Hwy 9, Felton, CA 95018, USA",(831) 332-0760,http://www.thecenterforhealing.net/,4.3,,establishment; gym; health; point_of_interest,Monday: 9:00 AM – 8:00 PM; Tuesday: 9:00 AM – 7:30 PM; Wednesday: 9:00 AM – 7:30 PM; Thursday: 9:00 AM – 7:30 PM; Friday: 9:00 AM – 7:00 PM; Saturday: 9:00 AM – 3:00 PM; Sunday: Closed,ChIJ-w_QJ6NGjoARF0TDIqswgZg,37.0503605,-122.073027
Green Magic Yoga,"738 Chestnut St, Santa Cruz, CA 95060, USA",(415) 545-8484,http://www.greenmagicyoga.com/,5,,establishment; gym; health; point_of_interest,,ChIJK-5kgtVBjoARwJn-Uf_sO7g,36.9760365,-122.0293825
"Mountain Sangha Yoga, Pilates, and Dance","12788 CA-9 #1, Boulder Creek, CA 95006, USA",(831) 217-3018,https://www.mountainsangha.com/contact,5,,establishment; gym; health; point_of_interest,Monday: 6:00 AM – 7:00 PM; Tuesday: 6:00 AM – 7:00 PM; Wednesday: 8:00 AM – 7:00 PM; Thursday: 6:00 AM – 7:00 PM; Friday: 6:00 AM – 7:00 PM; Saturday: 8:00 AM – 1:00 PM; Sunday: 8:00 AM – 5:00 PM,ChIJD7MVzA1PjoARiAhgQiD0G44,37.1197962,-122.1203848
West Cliff Yoga,"1010 Fair Ave, Santa Cruz, CA 95060, USA",(408) 348-1915,https://westcliffyoga.com/,5,,establishment; gym; health; point_of_interest,Monday: 8:00 AM – 8:00 PM; Tuesday: 8:00 AM – 8:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 8:00 PM; Saturday: 8:00 AM – 6:00 PM; Sunday: 8:00 AM – 6:00 PM,ChIJ8R6Ue75rjoARhpYV2a_J1YM,36.9589098,-122.0452916
MADabolic Scotts Valley,"262 Mt Hermon Rd Suite #101, Scotts Valley, CA 95066, USA",(831) 202-5234,https://madabolic.com/location/scotts-valley,4.9,,establishment; gym; health; point_of_interest,Monday: 5:00 AM – 5:30 PM; Tuesday: 5:00 AM – 6:30 PM; Wednesday: 5:00 AM – 6:30 PM; Thursday: 5:00 AM – 6:30 PM; Friday: 5:00 AM – 6:00 PM; Saturday: 7:30 – 10:30 AM; Sunday: 7:30 – 10:30 AM,ChIJ7WwYM4VHjoARs1gjtmo5Vgg,37.04797,-122.0305763
Heartwood Yoga,"9573 CA-9, Ben Lomond, CA 95005, USA",(831) 289-3016,http://www.heartwoodyogasc.com/,5,,establishment; gym; health; point_of_interest,Monday: 9:30 AM – 7:30 PM; Tuesday: 5:30 AM – 7:30 PM; Wednesday: 9:30 AM – 8:30 PM; Thursday: 5:30 AM – 6:00 PM; Friday: 8:30 AM – 7:30 PM; Saturday: 7:30 AM – 6:30 PM; Sunday: 7:30 AM – 6:30 PM,ChIJ7_1PM7FFjoARS8D_ZEgQ0GY,37.0892415,-122.0917717
Rise Collective,"816 Bay Ave D, Capitola, CA 95010, USA",(831) 999-0120,https://www.risesantacruz.com/,5,,establishment; gym; health; point_of_interest,Monday: 6:00 AM – 9:00 PM; Tuesday: 6:00 AM – 9:00 PM; Wednesday: 6:00 AM – 9:00 PM; Thursday: 6:00 AM – 9:00 PM; Friday: 6:00 AM – 8:00 PM; Saturday: 7:00 AM – 8:00 PM; Sunday: 7:00 AM – 8:00 PM,ChIJf2E-_4AVjoARtumTV4oZjg4,36.9813507,-121.9544528
Anytime Fitness,"1640 Mission St, Santa Cruz, CA 95060, USA",(831) 777-3999,https://www.anytimefitness.com/locations/santa-cruz-california-4906/?utm_source=google&utm_medium=organic-businesslisting&utm_campaign=gbp-listing&utm_content=4906,4.9,,establishment; gym; health; point_of_interest,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,ChIJt1oNi45rjoARHApXBTiSH_Y,36.9658342,-122.0413181
