Name,Category,Subcategory,Description,LongDescription,WriteUp,Address,City,State,ZipCode,Phone,Website,Email,Instagram,Facebook,Latitude,Longitude,Neighborhood,CrossStreets,Services,Specialties,Amenities,Equipment,Classes,Programs,PriceLevel,Pricing,Hours,HolidayHours,BestTime,PeakHours,IndoorOutdoor,Parking,PublicTransportation,WheelchairAccessible,FamilyFriendly,PetFriendly,Wifi,Showers,LockerRoom,EquipmentRental,WellnessType,TreatmentTypes,Certification,Licensed,InsuranceAccepted,AppointmentRequired,WalkInsWelcome,GroupSessions,PrivateSessions,TargetAudience,SkillLevel,AgeGroups,BeginnerFriendly,AdvancedPrograms,Rating,ReviewCount,StaffPicks,Awards,Certifications,PhotoURL,ImageGallery,VideoURL,VirtualTour,SocialMedia,BusinessType,Ownership,Established,StaffSize,Languages,Tags,Keywords,Seasonal,WeatherDependent,BookingPlatform,CancellationPolicy,MembershipRequired,TrialClass,PackageDeals,MetaDescription,MetaKeywords,Featured,Popular,Trending
"Yin Yoga & Meditation Studio","Yoga Studio","","Specialized yin yoga studio focusing on deep stretching and meditation practices.","Specialized yin yoga studio focusing on deep stretching and meditation practices. Located in beautiful Santa Cruz, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","456 Soquel Avenue, Santa Cruz, CA 95062","Santa Cruz","CA","95062","(831) 475-6789","https://www.yinyogasantacruz.com","","","","36.9741","-122.0308","Santa Cruz","","Yin Yoga, Deep Stretching, Meditation, Mindfulness, Restorative Yoga","Yin Yoga","Parking, Professional Staff, Clean Facilities","","Yin Yoga, Deep Stretching, Meditation, Mindfulness, Restorative Yoga","","2","Moderate","Mon-Fri: 6:00 AM - 9:00 PM; Sat-Sun: 8:00 AM - 7:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Yoga Studio","Yin Yoga, Deep Stretching, Meditation, Mindfulness, Restorative Yoga","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_yin_yoga___meditation_studio&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Yin Yoga, Deep Stretching, Meditation, Mindfulness, Restorative","Yin Yoga, Deep Stretching, Meditation, Mindfulness, Restorative","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Yin Yoga & Meditation Studio - Yoga Studio in Santa Cruz, Santa Cruz County","Yin Yoga, Deep Stretching, Meditation, Mindfulness, Restorative","","",""
"Power Yoga Capitola","Yoga Studio","","High-energy power yoga classes for strength, flexibility, and cardiovascular fitness.","High-energy power yoga classes for strength, flexibility, and cardiovascular fitness. Located in beautiful Capitola, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","741 Capitola Road, Capitola, CA 95010","Capitola","CA","95010","(831) 475-0123","https://www.poweryogacapitola.com","","","","36.9753","-121.9534","Capitola","","Power Yoga, High Energy, Strength Building, Flexibility, Cardiovascular Fitness","Power Yoga","Parking, Professional Staff, Clean Facilities","","Power Yoga, High Energy, Strength Building, Flexibility, Cardiovascular Fitness","","2","Moderate","Mon-Fri: 6:00 AM - 9:00 PM; Sat-Sun: 8:00 AM - 7:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Yoga Studio","Power Yoga, High Energy, Strength Building, Flexibility, Cardiovascular Fitness","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_power_yoga_capitola&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Power Yoga, High Energy, Strength, Flexibility, Cardiovascular","Power Yoga, High Energy, Strength, Flexibility, Cardiovascular","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Power Yoga Capitola - Yoga Studio in Capitola, Santa Cruz County","Power Yoga, High Energy, Strength, Flexibility, Cardiovascular","","",""
"Santa Cruz Kettlebell Academy","Fitness Studio","","Specialized kettlebell training for functional fitness and strength development.","Specialized kettlebell training for functional fitness and strength development. Located in beautiful Santa Cruz, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","123 Pacific Avenue, Santa Cruz, CA 95060","Santa Cruz","CA","95060","(831) 425-4567","https://www.santacruzkettlebell.com","","","","36.9741","-122.0308","Santa Cruz","","Kettlebell Training, Functional Fitness, Strength Development, Group Classes, Personal Training","Kettlebell Training","Parking, Professional Staff, Clean Facilities","","Kettlebell Training, Functional Fitness, Strength Development, Group Classes, Personal Training","","2","Moderate","Mon-Fri: 6:00 AM - 9:00 PM; Sat-Sun: 8:00 AM - 7:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","Showers available","Locker rooms available","","Fitness Studio","Kettlebell Training, Functional Fitness, Strength Development, Group Classes, Personal Training","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_santa_cruz_kettlebell_academy&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Kettlebell, Functional Fitness, Strength, Group Classes, Personal Training","Kettlebell, Functional Fitness, Strength, Group Classes, Personal Training","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Santa Cruz Kettlebell Academy - Fitness Studio in Santa Cruz, Santa Cruz County","Kettlebell, Functional Fitness, Strength, Group Classes, Personal Training","","",""
"Capitola TRX Training Center","Fitness Studio","","TRX suspension training for full-body workouts and functional movement.","TRX suspension training for full-body workouts and functional movement. Located in beautiful Capitola, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","369 Capitola Road, Capitola, CA 95010","Capitola","CA","95010","(831) 475-8901","https://www.capitolatrx.com","","","","36.9753","-121.9534","Capitola","","TRX Training, Suspension Training, Full-Body Workouts, Functional Movement, Core Strength","TRX Training","Parking, Professional Staff, Clean Facilities","","TRX Training, Suspension Training, Full-Body Workouts, Functional Movement, Core Strength","","2","Moderate","Mon-Fri: 6:00 AM - 9:00 PM; Sat-Sun: 8:00 AM - 7:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","Showers available","Locker rooms available","","Fitness Studio","TRX Training, Suspension Training, Full-Body Workouts, Functional Movement, Core Strength","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_capitola_trx_training_center&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","TRX, Suspension Training, Full-Body, Functional Movement, Core","TRX, Suspension Training, Full-Body, Functional Movement, Core","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Capitola TRX Training Center - Fitness Studio in Capitola, Santa Cruz County","TRX, Suspension Training, Full-Body, Functional Movement, Core","","",""
"Watsonville Zumba Studio","Dance Studio","","High-energy Zumba dance fitness classes with Latin and international music.","High-energy Zumba dance fitness classes with Latin and international music. Located in beautiful Watsonville, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","852 Main Street, Watsonville, CA 95076","Watsonville","CA","95076","(831) 724-5678","https://www.watsonvillezumba.com","","","","36.9102","-121.7569","Watsonville","","Zumba, Dance Fitness, Latin Music, International Music, High Energy, Fun Workouts","Zumba","Parking, Professional Staff, Clean Facilities","","Zumba, Dance Fitness, Latin Music, International Music, High Energy, Fun Workouts","","1","Budget-friendly","Mon-Fri: 9:00 AM - 6:00 PM; Sat: 9:00 AM - 2:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Dance Studio","Zumba, Dance Fitness, Latin Music, International Music, High Energy, Fun Workouts","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_watsonville_zumba_studio&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Zumba, Dance Fitness, Latin Music, High Energy, Fun","Zumba, Dance Fitness, Latin Music, High Energy, Fun","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Watsonville Zumba Studio - Dance Studio in Watsonville, Santa Cruz County","Zumba, Dance Fitness, Latin Music, High Energy, Fun","","",""
"Santa Cruz Sound Healing Center","Wellness Center","","Sound healing therapy using crystal bowls, gongs, and vibrational instruments.","Sound healing therapy using crystal bowls, gongs, and vibrational instruments. Located in beautiful Santa Cruz, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","147 Water Street, Santa Cruz, CA 95060","Santa Cruz","CA","95060","(831) 425-7890","https://www.santacruzsoundhealing.com","","","","36.9741","-122.0308","Santa Cruz","","Sound Healing, Crystal Bowls, Gong Therapy, Vibrational Healing, Meditation","Sound Healing","Parking, Professional Staff, Clean Facilities","","Sound Healing, Crystal Bowls, Gong Therapy, Vibrational Healing, Meditation","","3","Premium","Mon-Fri: 9:00 AM - 6:00 PM; Sat: 9:00 AM - 2:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Wellness Center","Sound Healing, Crystal Bowls, Gong Therapy, Vibrational Healing, Meditation","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_santa_cruz_sound_healing_center&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Sound Healing, Crystal Bowls, Gong Therapy, Vibrational, Meditation","Sound Healing, Crystal Bowls, Gong Therapy, Vibrational, Meditation","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Santa Cruz Sound Healing Center - Wellness Center in Santa Cruz, Santa Cruz County","Sound Healing, Crystal Bowls, Gong Therapy, Vibrational, Meditation","","",""
"Capitola Reiki & Energy Healing","Wellness Center","","Reiki and energy healing services for spiritual and emotional wellness.","Reiki and energy healing services for spiritual and emotional wellness. Located in beautiful Capitola, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","456 Capitola Road, Capitola, CA 95010","Capitola","CA","95010","(831) 475-2345","https://www.capitolareiki.com","","","","36.9753","-121.9534","Capitola","","Reiki, Energy Healing, Spiritual Wellness, Emotional Healing, Chakra Balancing","Reiki","Parking, Professional Staff, Clean Facilities","","Reiki, Energy Healing, Spiritual Wellness, Emotional Healing, Chakra Balancing","","2","Moderate","Mon-Fri: 9:00 AM - 6:00 PM; Sat: 9:00 AM - 2:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Wellness Center","Reiki, Energy Healing, Spiritual Wellness, Emotional Healing, Chakra Balancing","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_capitola_reiki___energy_healing&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Reiki, Energy Healing, Spiritual Wellness, Emotional Healing, Chakra","Reiki, Energy Healing, Spiritual Wellness, Emotional Healing, Chakra","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Capitola Reiki & Energy Healing - Wellness Center in Capitola, Santa Cruz County","Reiki, Energy Healing, Spiritual Wellness, Emotional Healing, Chakra","","",""
"Aptos Life Coaching Center","Life Coaching","","Life coaching services for personal development, goal setting, and life transitions.","Life coaching services for personal development, goal setting, and life transitions. Located in beautiful Aptos, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","741 Trout Gulch Road, Aptos, CA 95003","Aptos","CA","95003","(831) 688-9012","https://www.aptoslifecoaching.com","","","","36.9772","-121.9014","Aptos","","Life Coaching, Personal Development, Goal Setting, Life Transitions, Career Coaching","Life Coaching","Parking, Professional Staff, Clean Facilities","","Life Coaching, Personal Development, Goal Setting, Life Transitions, Career Coaching","","3","Premium","Mon-Fri: 9:00 AM - 6:00 PM; Sat: 9:00 AM - 2:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Life Coaching","Life Coaching, Personal Development, Goal Setting, Life Transitions, Career Coaching","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_aptos_life_coaching_center&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Life Coaching, Personal Development, Goal Setting, Transitions, Career","Life Coaching, Personal Development, Goal Setting, Transitions, Career","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Aptos Life Coaching Center - Life Coaching in Aptos, Santa Cruz County","Life Coaching, Personal Development, Goal Setting, Transitions, Career","","",""
"Santa Cruz Craniosacral Therapy","Massage Therapy","","Craniosacral therapy for gentle healing and nervous system regulation.","Craniosacral therapy for gentle healing and nervous system regulation. Located in beautiful Santa Cruz, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","123 Pacific Avenue, Santa Cruz, CA 95060","Santa Cruz","CA","95060","(831) 425-3456","https://www.santacruzcraniosacral.com","","","","36.9741","-122.0308","Santa Cruz","","Craniosacral Therapy, Gentle Healing, Nervous System Regulation, Stress Relief, Pain Management","Craniosacral Therapy","Parking, Professional Staff, Clean Facilities","","Craniosacral Therapy, Gentle Healing, Nervous System Regulation, Stress Relief, Pain Management","","3","Premium","Mon-Fri: 9:00 AM - 7:00 PM; Sat: 9:00 AM - 5:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Massage Therapy","Craniosacral Therapy, Gentle Healing, Nervous System Regulation, Stress Relief, Pain Management","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_santa_cruz_craniosacral_therapy&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Craniosacral, Gentle Healing, Nervous System, Stress Relief, Pain Management","Craniosacral, Gentle Healing, Nervous System, Stress Relief, Pain Management","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Santa Cruz Craniosacral Therapy - Massage Therapy in Santa Cruz, Santa Cruz County","Craniosacral, Gentle Healing, Nervous System, Stress Relief, Pain Management","","",""
"Capitola Myofascial Release","Massage Therapy","","Myofascial release therapy for chronic pain and movement restrictions.","Myofascial release therapy for chronic pain and movement restrictions. Located in beautiful Capitola, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","369 Capitola Road, Capitola, CA 95010","Capitola","CA","95010","(831) 475-6789","https://www.capitolamyofascial.com","","","","36.9753","-121.9534","Capitola","","Myofascial Release, Chronic Pain Relief, Movement Therapy, Postural Correction, Injury Recovery","Myofascial Release","Parking, Professional Staff, Clean Facilities","","Myofascial Release, Chronic Pain Relief, Movement Therapy, Postural Correction, Injury Recovery","","3","Premium","Mon-Fri: 9:00 AM - 7:00 PM; Sat: 9:00 AM - 5:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Massage Therapy","Myofascial Release, Chronic Pain Relief, Movement Therapy, Postural Correction, Injury Recovery","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_capitola_myofascial_release&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Myofascial Release, Chronic Pain, Movement Therapy, Postural, Injury Recovery","Myofascial Release, Chronic Pain, Movement Therapy, Postural, Injury Recovery","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Capitola Myofascial Release - Massage Therapy in Capitola, Santa Cruz County","Myofascial Release, Chronic Pain, Movement Therapy, Postural, Injury Recovery","","",""
"Scotts Valley Reflexology Center","Massage Therapy","","Reflexology foot massage for whole-body wellness and stress relief.","Reflexology foot massage for whole-body wellness and stress relief. Located in beautiful Scotts Valley, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","741 Mount Hermon Road, Scotts Valley, CA 95066","Scotts Valley","CA","95066","(831) 438-2345","https://www.scottsvalleyreflexology.com","","","","37.0511","-122.0147","Scotts Valley","","Reflexology, Foot Massage, Whole-Body Wellness, Stress Relief, Energy Flow","Reflexology","Parking, Professional Staff, Clean Facilities","","Reflexology, Foot Massage, Whole-Body Wellness, Stress Relief, Energy Flow","","2","Moderate","Mon-Fri: 9:00 AM - 7:00 PM; Sat: 9:00 AM - 5:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Massage Therapy","Reflexology, Foot Massage, Whole-Body Wellness, Stress Relief, Energy Flow","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_scotts_valley_reflexology_center&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Reflexology, Foot Massage, Wellness, Stress Relief, Energy Flow","Reflexology, Foot Massage, Wellness, Stress Relief, Energy Flow","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Scotts Valley Reflexology Center - Massage Therapy in Scotts Valley, Santa Cruz County","Reflexology, Foot Massage, Wellness, Stress Relief, Energy Flow","","",""
"Santa Cruz Barre Studio","Fitness Studio","","Barre fitness classes combining ballet, Pilates, and yoga for toned muscles.","Barre fitness classes combining ballet, Pilates, and yoga for toned muscles. Located in beautiful Santa Cruz, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","147 Water Street, Santa Cruz, CA 95060","Santa Cruz","CA","95060","(831) 425-5678","https://www.santacruzbarre.com","","","","36.9741","-122.0308","Santa Cruz","","Barre Fitness, Ballet-Inspired, Pilates, Yoga, Muscle Toning, Low Impact","Barre Fitness","Parking, Professional Staff, Clean Facilities","","Barre Fitness, Ballet-Inspired, Pilates, Yoga, Muscle Toning, Low Impact","","2","Moderate","Mon-Fri: 6:00 AM - 9:00 PM; Sat-Sun: 8:00 AM - 7:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","Showers available","Locker rooms available","","Fitness Studio","Barre Fitness, Ballet-Inspired, Pilates, Yoga, Muscle Toning, Low Impact","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_santa_cruz_barre_studio&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Barre, Ballet, Pilates, Yoga, Muscle Toning, Low Impact","Barre, Ballet, Pilates, Yoga, Muscle Toning, Low Impact","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Santa Cruz Barre Studio - Fitness Studio in Santa Cruz, Santa Cruz County","Barre, Ballet, Pilates, Yoga, Muscle Toning, Low Impact","","",""
"Capitola HIIT Training","Fitness Studio","","High-intensity interval training for maximum fitness results in minimal time.","High-intensity interval training for maximum fitness results in minimal time. Located in beautiful Capitola, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","456 Capitola Road, Capitola, CA 95010","Capitola","CA","95010","(831) 475-0123","https://www.capitolahiit.com","","","","36.9753","-121.9534","Capitola","","HIIT Training, High Intensity, Interval Training, Fat Burning, Cardio, Strength","HIIT Training","Parking, Professional Staff, Clean Facilities","","HIIT Training, High Intensity, Interval Training, Fat Burning, Cardio, Strength","","2","Moderate","Mon-Fri: 6:00 AM - 9:00 PM; Sat-Sun: 8:00 AM - 7:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","Showers available","Locker rooms available","","Fitness Studio","HIIT Training, High Intensity, Interval Training, Fat Burning, Cardio, Strength","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_capitola_hiit_training&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","HIIT, High Intensity, Interval Training, Fat Burning, Cardio, Strength","HIIT, High Intensity, Interval Training, Fat Burning, Cardio, Strength","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Capitola HIIT Training - Fitness Studio in Capitola, Santa Cruz County","HIIT, High Intensity, Interval Training, Fat Burning, Cardio, Strength","","",""
"Watsonville Senior Fitness","Fitness Center","","Specialized fitness programs for seniors focusing on mobility, balance, and strength.","Specialized fitness programs for seniors focusing on mobility, balance, and strength. Located in beautiful Watsonville, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","852 Main Street, Watsonville, CA 95076","Watsonville","CA","95076","(831) 724-4567","https://www.watsonvilleseniorfitness.com","","","","36.9102","-121.7569","Watsonville","","Senior Fitness, Mobility, Balance, Strength, Low Impact, Age-Appropriate","Senior Fitness","Parking, Professional Staff, Clean Facilities","","Senior Fitness, Mobility, Balance, Strength, Low Impact, Age-Appropriate","","1","Budget-friendly","Mon-Fri: 6:00 AM - 9:00 PM; Sat-Sun: 8:00 AM - 7:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","Showers available","Locker rooms available","","Fitness Center","Senior Fitness, Mobility, Balance, Strength, Low Impact, Age-Appropriate","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_watsonville_senior_fitness&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Senior Fitness, Mobility, Balance, Strength, Low Impact, Age-Appropriate","Senior Fitness, Mobility, Balance, Strength, Low Impact, Age-Appropriate","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Watsonville Senior Fitness - Fitness Center in Watsonville, Santa Cruz County","Senior Fitness, Mobility, Balance, Strength, Low Impact, Age-Appropriate","","",""
"Santa Cruz Aromatherapy Spa","Spa & Wellness","","Aromatherapy spa using essential oils for therapeutic and relaxation benefits.","Aromatherapy spa using essential oils for therapeutic and relaxation benefits. Located in beautiful Santa Cruz, this wellness facility offers a comprehensive range of services to support your health and wellness journey.","","123 Pacific Avenue, Santa Cruz, CA 95060","Santa Cruz","CA","95060","(831) 425-8901","https://www.santacruzaromatherpy.com","","","","36.9741","-122.0308","Santa Cruz","","Aromatherapy, Essential Oils, Therapeutic Massage, Relaxation, Stress Relief","Aromatherapy","Parking, Professional Staff, Clean Facilities","","Aromatherapy, Essential Oils, Therapeutic Massage, Relaxation, Stress Relief","","3","Premium","Daily: 9:00 AM - 8:00 PM","Holiday hours may vary","Morning and evening classes available","Evenings and weekends","Indoor","Street Parking Available","Public transportation nearby","Wheelchair accessible","Family friendly","","Free WiFi","","","","Spa & Wellness","Aromatherapy, Essential Oils, Therapeutic Massage, Relaxation, Stress Relief","Certified professionals","Licensed practitioners","Insurance may be accepted","Appointments recommended","Walk-ins welcome","Group sessions available","Private sessions available","All Levels","Beginner to Advanced","All Ages","Beginner friendly","Advanced programs available","4.5","50+","","","Certified professionals","https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=photo_ref_santa_cruz_aromatherapy_spa&key=YOUR_GOOGLE_PLACES_API_KEY","","","","","Wellness Business","Locally owned","Established 2015","5-15 staff","English","Aromatherapy, Essential Oils, Therapeutic, Relaxation, Stress Relief","Aromatherapy, Essential Oils, Therapeutic, Relaxation, Stress Relief","","","Online booking available","24-hour cancellation policy","","Trial class available","Package deals available","Santa Cruz Aromatherapy Spa - Spa & Wellness in Santa Cruz, Santa Cruz County","Aromatherapy, Essential Oils, Therapeutic, Relaxation, Stress Relief","","",""
